cohort,metric,comparison,comparison_label,aggregation_level,unit_id,family,eligible_for_headline,diagnostic_only,reference_median,subject_median,ratio,observation_count,note
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::range_unbounded_unbounded,btree,True,False,1346193.5,1346096.4,0.9999278706961517,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::range_unbounded_unbounded,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::map::range_unbounded_vs_iter,btree,True,False,2027506.7,1645144.23,0.811412475233744,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::map::range_unbounded_vs_iter,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100,btree,True,False,450.14,375.0,0.8330741547074244,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_clear,btree,True,False,408.27,374.28,0.9167462708501727,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_clear,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_drain_all,btree,True,False,2181.98,2179.31,0.9987763407547273,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_drain_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_drain_half,btree,True,False,1140.71,1120.68,0.9824407605789377,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_drain_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_into_iter,btree,True,False,435.18,423.22,0.9725171193529115,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_into_iter,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_pop_all,btree,True,False,1442.02,1424.51,0.9878573112716883,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_pop_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_remove_all,btree,True,False,1556.11,1554.82,0.9991710097615207,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_remove_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_remove_half,btree,True,False,860.5,862.7,1.0025566531086578,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_100_and_remove_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k,btree,True,False,46088.86,40498.76,0.8787103868483621,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_clear,btree,True,False,40819.99,40485.51,0.9918059754546732,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_clear,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_drain_all,btree,True,False,240908.57,247066.53,1.0255613986667225,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_drain_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_drain_half,btree,True,False,110939.17,110495.75,0.9960030348162872,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_drain_half,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_into_iter,btree,True,False,43750.22,43131.68,0.9858620139510156,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_into_iter,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_pop_all,btree,True,False,172168.94,177901.17,1.0332942167152799,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_pop_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_remove_all,btree,True,False,189682.8,193247.56,1.0187932696058895,3,
rust_std_bench,peak_rss,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_remove_all,btree,True,True,3072.0,3072.0,1.0,3,process-observed RSS; iteration counts were not captured
rust_std_bench,performance,ptmalloc,ptmalloc,benchmark_case,btree::set::clone_10k_and_remove_half,btree,True,False,119255.12,118724.75,0.9955526437774748,3,
