metric,comparison,comparison_label,aggregation_level,target_id,target_label,workload_id,rss_work_model,eligible_for_suite_headline,diagnostic_only,ratio,observation_count,note
performance,policy_increment,Policy increment,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,0.9992066438046392,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0057764932647826,4,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,route_equivalent_within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0048021091025487,3,geometric mean across route-equivalent workloads within target
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,bulk_small,fixed_work,True,False,1.013157894736842,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,transaction_churn,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,delete_reinsert,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,workload_paired_run_median,redb,redb,large_values,fixed_work,True,False,1.0,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,policy_increment,Policy increment,within_target_geometric_mean,redb,redb,,fixed_work,True,False,1.0032733661922877,4,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.4307738854117762,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.4000714494654871,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.2587635696367203,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.4236977115199847,5,median of five paired-run ratios
performance,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.0106125207127592,5,median of five paired-run ratios; compiler-route-equivalent
performance,compiler_route,Compiler route,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.2939978841560242,5,geometric mean across workload paired-run medians within target
performance,compiler_route,Compiler route,route_equivalent_within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.0106125207127592,1,geometric mean across route-equivalent workloads within target
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.0048215343499882,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.0,5,median of five paired-run ratios
peak_rss,compiler_route,Compiler route,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,0.9946886104357584,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,compiler_route,Compiler route,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.0025938516680954,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.4281906225058911,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.3971097342551466,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.266184924291079,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.4281248706651353,5,median of five paired-run ratios
performance,end_to_end,End to end,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.0193406479486948,5,median of five paired-run ratios; compiler-route-equivalent
performance,end_to_end,End to end,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.2975373615361296,5,geometric mean across workload paired-run medians within target
performance,end_to_end,End to end,route_equivalent_within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.0193406479486948,1,geometric mean across route-equivalent workloads within target
peak_rss,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.001308702180711,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.0067567567567568,5,median of five paired-run ratios
peak_rss,end_to_end,End to end,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.005912067352666,5,median of five paired-run ratios; compiler-route-equivalent
peak_rss,end_to_end,End to end,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.0054959682802094,5,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_low_cardinality,fixed_work,True,False,0.9981944995416647,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_high_cardinality,fixed_work,True,False,0.9978845970957616,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,groupby_multikey,fixed_work,True,False,1.0011384805005703,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,filter_retain,fixed_work,True,False,1.0016037114749659,5,median of five paired-run ratios
performance,policy_increment,Policy increment,workload_paired_run_median,polars,Polars,csv_scan,fixed_work,True,False,1.001779107077223,5,median of five paired-run ratios; compiler-route-equivalent
performance,policy_increment,Policy increment,within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.000118609093225,5,geometric mean across workload paired-run medians within target
performance,policy_increment,Policy increment,route_equivalent_within_target_geometric_mean,polars,Polars,,fixed_work,True,False,1.001779107077223,1,geometric mean across route-equivalent workloads within target
