variant,allocator,feature,allocator_label,benchmark,robustness_selected,sample_index,measured_round,sample_ns_per_iter,cell_median_ns_per_iter,cell_mad_ns_per_iter,cell_min_ns_per_iter,cell_max_ns_per_iter,cell_median_ratio_vs_unialloc,aggregate_geomean_median_ratio_vs_unialloc,robust_geomean_median_ratio_vs_unialloc
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,string::bench_push_char_one_byte,true,2,2,11022.98,11080.57,52.190000000000509,11022.98,11132.76,0.96836967445925271,0.77215917526012701,0.77215917526012701
bench_mimalloc,mimalloc,bench_mimalloc,mimalloc,string::bench_push_char_one_byte,true,3,3,11080.57,11080.57,52.190000000000509,11022.98,11132.76,0.96836967445925271,0.77215917526012701,0.77215917526012701
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,string::bench_push_char_one_byte,true,1,1,11001.83,11003.120000000001,1.2900000000008731,11001.83,11036.9,0.96160104872187024,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,string::bench_push_char_one_byte,true,2,2,11003.120000000001,11003.120000000001,1.2900000000008731,11001.83,11036.9,0.96160104872187024,0.76406462127847108,0.76406462127847108
bench_tcmalloc,tcmalloc,bench_tcmalloc,TCMalloc,string::bench_push_char_one_byte,true,3,3,11036.9,11003.120000000001,1.2900000000008731,11001.83,11036.9,0.96160104872187024,0.76406462127847108,0.76406462127847108
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,string::bench_push_char_one_byte,true,1,1,11189.42,11090.99,16.659999999999854,11074.33,11189.42,0.96928031461656106,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,string::bench_push_char_one_byte,true,2,2,11074.33,11090.99,16.659999999999854,11074.33,11189.42,0.96928031461656106,0.79324362672494542,0.79324362672494542
bench_snmalloc,snmalloc,bench_snmalloc,snmalloc,string::bench_push_char_one_byte,true,3,3,11090.99,11090.99,16.659999999999854,11074.33,11189.42,0.96928031461656106,0.79324362672494542,0.79324362672494542
bench_scudo,scudo,bench_scudo,Scudo,string::bench_push_char_one_byte,true,1,1,11287.85,11292.139999999999,4.2899999999990541,11287.85,11311.76,0.986859514966135,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,string::bench_push_char_one_byte,true,2,2,11311.76,11292.139999999999,4.2899999999990541,11287.85,11311.76,0.986859514966135,0.89677931758908924,0.89677931758908924
bench_scudo,scudo,bench_scudo,Scudo,string::bench_push_char_one_byte,true,3,3,11292.139999999999,11292.139999999999,4.2899999999990541,11287.85,11311.76,0.986859514966135,0.89677931758908924,0.89677931758908924
bench_ourself,unialloc,bench_ourself,UniAlloc,vec::bench_from_elem_1000,true,1,1,151.41999999999999,151.41999999999999,0.32999999999998408,151.09,152.03,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,vec::bench_from_elem_1000,true,2,2,151.09,151.41999999999999,0.32999999999998408,151.09,152.03,1,1,1
bench_ourself,unialloc,bench_ourself,UniAlloc,vec::bench_from_elem_1000,true,3,3,152.03,151.41999999999999,0.32999999999998408,151.09,152.03,1,1,1
bench_ptmalloc,ptmalloc,bench_ptmalloc,ptmalloc,vec::bench_from_elem_1000,true,1,1,149.37,149.37,0.15999999999999659,149.21000000000001,149.65000000000001,0.98646149782063142,0.81232787988481392,0.81232787988481392
